🤲🏼  (U+1F932)
🤳  (U+1F933)
🤳🏻  (U+1F933)
🤳🏾  (U+1F933)
🤷  (U+1F937)
🤷‍♀️  (U+1F937)
🤷‍♂️  (U+1F937)
🤷🏻  (U+1F937)
🤷🏻‍♀️  (U+1F937)
🤷🏻‍♂️  (U+1F937)
🤷🏼‍♂️  (U+1F937)
🤷🏾‍♂️  (U+1F937)
🤸  (U+1F938)
🤸‍♂️  (U+1F938)
🤸🏻‍♀️  (U+1F938)
🤺  (U+1F93A)
🤽  (U+1F93D)
🤾  (U+1F93E)
🥀  (U+1F940)
🥃  (U+1F943)
🥇  (U+1F947)
🥈  (U+1F948)
🥊  (U+1F94A)
🥓  (U+1F953)
🥔  (U+1F954)
🥖  (U+1F956)
🥛  (U+1F95B)
🥜  (U+1F95C)
🥞  (U+1F95E)
🥢  (U+1F962)
🥪  (U+1F96A)
🥰  (U+1F970)
🥱  (U+1F971)
🥲  (U+1F972)
🥳  (U+1F973)
🥴  (U+1F974)
🥵  (U+1F975)
🥶  (U+1F976)
🥷  (U+1F977)
🥷🏽  (U+1F977)
🥸  (U+1F978)
🥹  (U+1F979)
🥺  (U+1F97A)
🦁  (U+1F981)
🦄  (U+1F984)
🦈  (U+1F988)
🦋  (U+1F98B)
🦍  (U+1F98D)
🦎  (U+1F98E)
🦏  (U+1F98F)
🦕  (U+1F995)
🦖  (U+1F996)
🦚  (U+1F99A)
🦟  (U+1F99F)
🦠  (U+1F9A0)
🦧  (U+1F9A7)
🦭  (U+1F9AD)
🦵  (U+1F9B5)
🦶  (U+1F9B6)
🦸🏻‍♂️  (U+1F9B8)
🦻  (U+1F9BB)
🦽  (U+1F9BD)
🦾  (U+1F9BE)
🧃  (U+1F9C3)
🧈  (U+1F9C8)
🧌  (U+1F9CC)
🧍‍♀️  (U+1F9CD)
🧍🏻‍♀️  (U+1F9CD)
🧎🏻‍♀️  (U+1F9CE)
🧏  (U+1F9CF)
🧏‍♂️  (U+1F9CF)
🧏🏻  (U+1F9CF)
🧏🏻‍♀  (U+1F9CF)
🧏🏻‍♀️  (U+1F9CF)
🧏🏽‍♀️  (U+1F9CF)
🧐  (U+1F9D0)
🧑  (U+1F9D1)
🧑‍💻  (U+1F9D1)
🧑‍🤝‍🧑  (U+1F9D1)
🧑‍🦰  (U+1F9D1)
🧒  (U+1F9D2)
🧒🏿  (U+1F9D2)
🧔‍♀️  (U+1F9D4)
🧕  (U+1F9D5)
🧕🏻  (U+1F9D5)
🧘🏻‍♀️  (U+1F9D8)
🧚  (U+1F9DA)
🧚‍♀️  (U+1F9DA)
🧚‍♂️  (U+1F9DA)
🧚🏻  (U+1F9DA)
🧚🏻‍♀️  (U+1F9DA)
🧜‍♀️  (U+1F9DC)
🧞  (U+1F9DE)
🧞‍♂️  (U+1F9DE)
🧟  (U+1F9DF)
🧟‍♀️  (U+1F9DF)
🧠  (U+1F9E0)
🧡  (U+1F9E1)
🧢  (U+1F9E2)
🧤  (U+1F9E4)
🧬  (U+1F9EC)
🧳  (U+1F9F3)
🧸  (U+1F9F8)
🩰  (U+1FA70)
🩲  (U+1FA72)
🩵  (U+1FA75)
🩶  (U+1FA76)
🩷  (U+1FA77)
🪐  (U+1FA90)
🪓  (U+1FA93)
🪙  (U+1FA99)
🪝  (U+1FA9D)
🪨  (U+1FAA8)
🪷  (U+1FAB7)
🪼  (U+1FABC)
🫀  (U+1FAC0)
🫁  (U+1FAC1)
🫂  (U+1FAC2)
🫄  (U+1FAC4)
🫅  (U+1FAC5)
🫆  (U+1FAC6)
🫎  (U+1FACE)
🫐  (U+1FAD0)
🫚  (U+1FADA)
🫜  (U+1FADC)
🫟  (U+1FADF)
🫠  (U+1FAE0)
🫡  (U+1FAE1)
🫢  (U+1FAE2)
🫣  (U+1FAE3)
🫤  (U+1FAE4)
🫥  (U+1FAE5)
🫦  (U+1FAE6)
🫧  (U+1FAE7)
🫨  (U+1FAE8)
🫩  (U+1FAE9)
🫪  (U+1FAEA)
🫰  (U+1FAF0)
🫰🏻  (U+1FAF0)
🫰🏼  (U+1FAF0)
🫰🏽  (U+1FAF0)
🫱  (U+1FAF1)
🫱🏼  (U+1FAF1)
🫲  (U+1FAF2)
🫳  (U+1FAF3)
🫳🏽  (U+1FAF3)
🫴  (U+1FAF4)
🫵  (U+1FAF5)
🫵🏻  (U+1FAF5)
🫵🏼  (U+1FAF5)
🫵🏾  (U+1FAF5)
🫶  (U+1FAF6)
🫶🏻  (U+1FAF6)
🫶🏼  (U+1FAF6)
🫷  (U+1FAF7)
🫷🏻  (U+1FAF7)
🫷🏿  (U+1FAF7)
🫸  (U+1FAF8)
🫸🏻  (U+1FAF8)
🫸🏿  (U+1FAF8)
