focus,fokus
prayer,doa
believe,percaya
can,dapat
skola,sekolah
gatauuu,tidak tahu
perna,pernah
tolol,bodoh
murid,siswa
ngaco,kacau
jela,saja
book,buku
ikit,ikut
pape,apa
hrsnya,harus
mlu,selalu
see,lihat
liat,lihat
pertma,pertama
tdr,tidur
anjm,anjing
repeat,ulang
pgn,ingin
gtloh,gitu
ktmu,temu
bodo,bodoh
sik,masih
smlm,malam
looooove,cinta
in,di
sembuhhhhh,sembuh
mcm,macam
dgr,dengar
tgk,lihat
dst,dsb
cepetaaan,cepat
university,universitas
coronces,corona
apsen,absen
apalgi,apa
ade,adik
adenya,adik
buanyak,banyak
baique,baik
as,sebagai
contact,kontak
jur,jurusan
mnyimak,simak
fifty,limapuluh
dedel,susah
sby,surabaya
mna,mana
pagii,pagi
sbg,sebagai
beginiiiiii,begini
sekaliiii,sekali
kawan,teman
listen,dengar
up,atas
pede,percaya diri
pd,percaya diri
maleeees,malas
like,suka
duit,uang
duid,uang
money,uang
triak,teriak
noooo,tidak
ajj,anjing
sister,kakak
brother,kakak
nite,malam
esok,besok
equals,sama
lamaaaaa,lama
lamaaaa,lama
lamaaa,lama
lamaa,lama
yailaaah,allah
maksain,paksa
manaa,mana
full,penuh
award,penghargaan
kene,sini
mention,sebut
degdegan,deg
gituu,gitu
gituuu,gitu
yainti,inti
yaintinya,inti
gatau,tidak tahu
hype,terkenal
burem,buram
smpe,sampai
muluu,selalu
alhasil,hasil
cont,lanjut
makasii,terimakasih
makasi,terimakasih
touch,sentuh
ileran,liur
thinking,pikir
maksd,maksud
maksdny,maksud
maksdnya,maksud
mkst,maksud
mkstnya,maksud
ngewe,mesum
pr,tugas
justice,adil
manjun,manjur
stadd,ustaz
stay,tinggal
healthy,sehat
brrti,arti
ka,kakak
kreta,kereta
berbeza,beda
mantep,mantap
friver,kemudi
bgsd,bangsat
ngapa,apa
ngapain,apa
stres,stress
back,kembali
start,mulai
batre,baterai
batrenya,baterai
pengen,ingin
tuker,tukar
tukeran,tukar
time,waktu
oncam,kamera
msuk,masuk
socialize,sosialisasi
need,butuh
don,tidak
lngsung,langsung
bngun,bangun
shopping,belanja
postpone,tunda
comment,komentar
sorry,maaf
not,tidak
for,untuk
kuh,aku
akuu,aku
bcs,karena
yukkk,ayo
sendiriiii,sendiri
nderrr,teman
sirkel,lingkaran
boro,jangan
tkt,takut
graduate,lulus
hactic,sibuk
hectic,sibuk
malem,malam
fikiran,pikir
fikir,pikir
begokk,bodoh
btw,omong
berasaaa,rasa
guee,aku
gasi,tidak
allahuu,allah
bisnes,bisnis
sebenarnyaaa,benar
allahu,allah
service,layan
spot,titik
anjr,anjing
dont,jangan
things,hal
getting,jadi
worse,buruk
dunt,tidak
hv,punya
friends,teman
diff,beda
bawel,cerewet
mkin,semakin
jek,ojek
giveaway,hadiah
baij,baik
sgt,sekali
nga,tidak
gada,tidak ada
ocehan,omong
oceh,omong
lbh,lebih
pass,pas
gk,tidak
terbaikkkkk,baik
very,sangat
nice,baik
idea,ide
pandemik,pandemi
rapih,rapi
manage,atur
mgga,tidak
pastu,pasti
signal,jaringan
inimah,ini
benr,benar
fuck,persetan
luama,lama
tegor,tegur
ditegor,tegur
anjeng,anjing
quota,kuota
dsj,dsb
unfair,tidak adil
btul,betul
ofc,tentu
kerumahz,rumah
rumahz,rumah
enek,eneg
encourage,semangat
hadeh,aduh
automatically,auto
done,sudah
thanks,terimakasih
wish,harap
luck,beruntung
mantau,pantau
donlod,unduh
download,unduh
least,setidaknya
bye,selamat tinggal
byebye,selamat tinggal
mamah,ibu
enau,enak
god,tuhan
nimb,nimbun
mlah,malah
smst,semester
set,setengah
weekdays,pekan
uninstal,uninstall
gausah,tidak
cman,cuma
aing,aku
manteman,teman
gapake,tidak pakai
hijab,kerudung
anjae,anjing
anjayani,anjing
proper,layak
dec,desember
brng,bareng
gaspol,gas
rapot,raport
rampyungg,sudah
maning,lagi
ngesuk,besok
esih,masih
pressure,tekanan
maloe,malu
astagaaa,astaga
lalen,lupa
hustle,ramai
kebablasan,kelewat
bablasa,kelewat
lebi,lebih
abiji,nilai
event,acara
setidakmungkin,tidak mungkin
berak,beol
thought,pikir
cuddling,peluk
deadass,mati
refers,tuju
satuu,satu
sakitt,sakit
semogaaa,semoga
teruss,terus
everyday,setiap hari
gils,gila
uga,juga
dengaaaan,dengan
maraton,marathon
dinner,makan malam
client,klien
useless,tidak berguna
caper,cari perhatian
caperr,cari perhatian
caperrr,cari perhatian
item,hitam
belajarpun,belajar
elahhh,allah
mapelah,mapel
only,hanya
our,kami
one,satu
angell,susah
pleciden,presiden
through,lewat
dag,deg
dig,deg
dug,deg
sagne,mesum
ngekick,usir
hbis,habis
maniiis,manis
details,detil
wasap,whatsapp
standby,tinggal
love,suka
texting,obrol
text,obrol
outfit,pakaian
kantung,kantong
mrasa,merasa
thdp,hadap
malaya,malaysia
indo,indonesia
play,main
sleep,tidur
skrang,sekarang
jirr,anjing
flop,gagal
survive,bertahan
best,terbaik
feeling,perasaan
poadcast,podcast
sometimes,kadang
test,ujian
quiz,kuis
final,akhir
dewee,sendiri
crash,tabrak
yaudahlaa,sudah
months,bulan
dahhh,sudah
jwabin,jawab
mislkn,misal
jwbn,jawab
tkut,takut
mirit,siswa
hqq,hakiki
aminn,amin
poop,beol
sndri,sendiri
camping,kemah
doh,aduh
apps,aplikasi
app,aplikasi
sya,aku
bkan,bukan
spupu,sepupu
laqnat,laknat
eskul,ekstrakulikuler
ngilang,hilang
sist,kakak
luv,sayang
sabi,bisa
interact,interaksi
muridnya,siswa
apakbar,apa kabar
opsi,pilihan
recorder,rekam
nongkrong,kumpul
nongki,kumpul
wonge,orang
ancen,memang
iki,ini
lag,lambat
asu,anjing
udahan,sudah
aq,aku
ibun,ibu
ayah,bapak
gasanggup,tidak sanggup
manut,nurut
rank,peringkat
rangking,peringkat
skarang,sekarang
mindset,pikir
jugaaaaa,juga
asuuuuuu,anjing
bokep,porno
ngebokep,porno
taiiii,tahi
point,titik
pasrahh,pasrah
yaudahla,sudah
kagettt,kaget
tricky,rumit
edgy,gelisah
buosen,bosan
expectation,harap
reality,realitas
attack,serang
dahal,padahal
ttep,tetap
msk,masuk
silent,diam
kulaih,kuliah
ijin,izin
emng,memang
smph,sumpah
excited,semangat
makasih,terimakasih
mngkin,mungkin
apala,apa
decided,memutuskan
masturbate,masturbasi
denger,dengar
kmrn,kemarin
kemaren,kemarin
bdg,bandung
ikutt,ikut
oengen,ingin
kelen,kalian
lamaaaaa,lama
fresh,segar
kuliat,lihat
isoo,bisa
abes,habis
muzikgempak,musik
pinter,pintar
diaa,dia
jugaa,juga
males,malas
hariini,hari
smgt,semangat
konsen,konsentrasi
fav,suka
tehthering,tethering
sialllllllllll,sial
tmn,teman
cowo,cowok
sumpe,sumpah
cheating,curang
cheat,curang
kakel,kakak tingkat
sangatttt,sangat
habisla,habis
keasikan,asyik
regis,registrasi
itung,hitung
welcome,selamat datang
muk,ingin
masterpiece,mahakarya
cororong,corona
gatay,tidak tahu
entar,nanti
nongkrrong,kumpul
eren,keren
iyegahhh,tidak
dirumaahh,rumah
mandipun,mandi
dha,sudah
korona,corona
klen,kalian
anjg,anjing
beneerr,benar
bangeettt,sekali
bpk,bapak
macem,macam
adlh,adalah
penat,pusing
sekola,sekolah
tapii,tapi
kdng,kadang
kaliam,kalian
hayuk,ayo
party,pesta
embo,tidak tahu
bolot,tuli
budeg,tuli
omg,tuhan
bundir,bunuh diri
pengin,ingin
sad,sedih
alpokat,alpukat
avocado,alpukat
reformasj,reformasi
tkut,tidak
mengajarr,ajar
ajarr,ajar
cintaim,cinta
probably,mungkin
overthinking,pikir
betulllll,benar
doswn,dosen
seger,segar
rona,corona
sepineee,sepi
polllllll,sangat
orgorg,orang
dn,dan
mudeng,paham
problem,masalah
hrus,harus
schedule,jadwal
gasik,tidak
stgh,setengah
goblokkk,bodoh
lagiiii,lagi
alloh,allah
ln,lain
gaadak,tidak ada
jaman,zaman
etapi,tapi
bgtt,sekali
iyaaaaa,iya
sng,senang
connection,koneksi
ikt,ikut
adapted,adaptasi
seneng,senang
weird,aneh
konsul,konsultasi
pa,bapak
maloee,malu
lagii,lagi
pakek,pakai
semangak,semangat
menurutgw,nurut
tbh,jujur
internship,magang
scholarship,beasiswa
ilmunyaaa,ilmu
djancokk,jancuk
serep,serap
enjoy,nikmat
plan,rencana
hopefully,harap
ginii,begini
brpa,berapa
tarsoktarsok,nanti
panikk,panik
bangeeet,sekali
ambyarrrrr,hancur
ampunddd,ampun
maen,main
wayahe,waktu
hape,hp
entok,dapat
kiraiin,kira
asw,anjing
monangesss,nangis
punyaaaaa,punya
adi,adik
pgen,ingin
music,musik
favorite,suka
sbgai,sebagai
gabs,tidak bisa
jdny,jadi
gada,tidak ada
sajahh,saja
bapa,bapak
without,tanpa
bilding,gedung
stuffs,barang
normalize,normal
kmi,kami
afternoon,sore
gilak,gila
ndaa,tidak
gituu,gitu
mslah,masalah
drumah,rumah
tntang,tentang
ripyuu,tinjau
sinyal,jaringan
meneh,lagi
anaku,anak
gini,begini
dlu,dulu
bngt,banget
bgtt,banget
bngtt,banget
bnget,banget
bgt,banget
bangat,banget
baget,banget
skrg,sekarang
skrng,sekarang
skrang,sekarang
skarang,sekarang
jd,jadi
jdi,jadi
jga,juga
jg,juga
jgn,jangan
hrs,harus
hrus,harus
sy,saya
sya,saya
sayaa,saya
akuu,aku
ak,aku
aq,aku
lu,kamu
lo,kamu
gue,saya
kluar,keluar
msuk,masuk
dri,dari
dr,dari
dgn,dengan
sm,sama
sma,sama
ama,sama
org,orang
orng,orang
tmen,teman
temen,teman
bs,bisa
bsa,bisa
gbs,tidak bisa
gbisa,tidak bisa
gbsa,tidak bisa
gaada,tidak ada
gada,tidak ada
gamau,tidak mau
gatau,tidak tahu
ngak,tidak
ngga,tidak
nggak,tidak
nggk,tidak
nga,tidak
engga,tidak
kaga,tidak
kagak,tidak
gx,tidak
utk,untuk
yng,yang
kyk,seperti
kya,seperti
uda,sudah
dah,sudah
dh,sudah
sdh,sudah
bru,baru
pdhal,padahal
pdahal,padahal
knpa,kenapa
knapa,kenapa
kenpa,kenapa
ngapa,kenapa
napa,kenapa
gimna,bagaimana
gmn,bagaimana
gmna,bagaimana
krn,karena
krna,karena
karna,karena
smpe,sampai
sampek,sampai
bnyk,banyak
bnyak,banyak
byk,banyak
sndiri,sendiri
sndri,sendiri
mw,mau
tlg,tolong
tlong,tolong
pls,tolong
plis,tolong
pliss,tolong
plss,tolong
ulng,ulang
kdng,kadang
kdang,kadang
slalu,selalu
sllu,selalu
stiap,setiap
mkin,makin
lgi,lagi
ajah,saja
ajaa,saja
aj,saja
cmn,hanya
cm,hanya
hps,hapus
apus,hapus
hpus,hapus
dpt,dapat
dapet,dapat
dn,dan
emg,memang
emng,memang
masi,masih
lh,lah
lahh,lah
dehh,deh
dongg,dong
donk,dong
lohh,loh
tp,tapi
tpi,tapi
tapii,tapi
truss,terus
teruss,terus
lagii,lagi
lamaa,lama
inii,ini
sii,sih
sihh,sih
yaa,ya
yah,ya
yahh,ya
yh,ya
smua,semua
klw,kalau
klau,kalau
kalok,kalau
kl,kalau
klo,kalau
vidio,video
fidio,video
vid,video
poto,foto
kouta,kuota
eror,error
erorr,error
loding,loading
scrol,scroll
vitur,fitur
apdet,update
updet,update
instal,install
unistal,uninstall
donlod,download
donlot
yg,yang
gk,tidak
trs,terus
trus,terus
udah,sudah
udh,sudah
dah,sudah
bgt,banget
kalo,kalau
klo,kalau
tp,tapi
tpi,tapi
karna,karena
sy,saya
sya,saya
gua,saya
lg,lagi
lgi,lagi
ny,nya
ko,kok
knpa,kenapa
pdhl,padahal
ngga,tidak
nggak,tidak
ga,tidak
g,tidak
d,di
tau,tahu
gabisa,tidak bisa
gajelas,tidak jelas
ngelag,lag
ngeleg,lag
ngebug,bug
bikin,membuat
benerin,perbaiki
doang,saja
cuman,hanya
dikit,sedikit
liat,lihat
gitu,begitu
gini,begini
gimana,bagaimana
kayak,seperti
kaya,seperti
mulu,terus
nih,ini
deh,lah
tuh,itu
dong,lah
sampe,sampai
tetep,tetap
cape,lelah
capek,lelah
ilang,hilang
kebuka,terbuka
jdi,jadi
min,admin
nge,me
yaa,ya
nyaa,nya
seruu,seru
baguss,bagus
bangett,banget
bgus,bagus
vidio,video
eror,error
instal,install
uninstal,uninstall
terimakasih,terima kasih
asik,asyik
fyp,for you page
soalnya,karena
tiap,setiap
males,malas
apl,aplikasi
skrng,sekarang
kasi,kasih
hrus,harus
kluar,keluar
gaada,tidak ada
donlod,download
jg,juga
hrs,harus
uda,sudah
org,orang
teruss,terus
bs,bisa
ak,aku
sukaa,suka
ngapa,kenapa
apaan,apa
ngk,tidak
bsa,bisa
bgs,bagus
bnyk,banyak
pengen,ingin
tu,itu
ngestuck,stuck
gada,tidak ada
balikin,kembalikan
bisaa,bisa
makasih,terima kasih
kaga,tidak
bru,baru
anj,anjing
ttp,tetap
tiktokk,tiktok
